Escape Sequences,Character
\b,Backspace
\f,Form feed
\n,Newline
\r,Return
\t,Horizontal tab
\v,Vertical tab
\\,Backslash
//,Single-line comment
/*,Start multi-line comment
*/,End multi-line comment
\',Single quotation mark
"\""",Double quotation mark
\?,Question mark
\0,Null character
,
