Operator,Meaning,Example
&&,Logical AND. True only if all operands are true,"If c = 5 and d = 2 then, expression ((c==5) && (d>5)) equals to 0."
||,Logical OR. True only if either one operand is true,"If c = 5 and d = 2 then, expression ((c==5) || (d>5)) equals to 1."
!,Logical NOT. True only if the operand is 0,"If c = 5 then, expression !(c==5) equals to 0."
